name
Alison McGillivray
Andrea Ludwig
Bogdan Dulu
Canadian Chamber Choir
Capella Regalis
Cecilia Osmond
Charles Daniels
Cheng Duo
Chester Brass
Chris Norman
David Braid
David Greenberg
David Macfarlane and Douglas Cameron
Dinuk Wijeratne
Doug MacPhee
Edmund Brownless
Epoque String Quartet
Erin Donovan
Sara Coffin
Fifth Wind
Halifax Camerata Singers 
Helene Brunet
Janell Lucyk
Janina Fialkowska
Jean-Luc Therrien
Jeff Reilly
John Potter
King's Chapel Choir
La Tour Baroque
Magnus Holstrom
Marcel d'Entremont
Maritime Brass Quintet
Martin Auclair
Maxim Bernard
Naming the Twins
Nick Halley
Nova Scotia Youth Choir
Nova Scotia Youth Orchestra
Ottawa Cathedral Choir
Paul Halley
Peter Anthony Togni
Philippe Gagne
Quartetto Gelato
Ragged Robin
Robert Kortgaard
Peter Tiefenback
Robert Quinney
Robert Uchida
Sarah Myatt
Stanislav Pronin
Suzie LeBlanc
Symphony Nova Scotia
Taktus
Trio Canoe
Walter Delahunt
Yann Flaquet
